addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,geometry,location_id,zone
545,West 25th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,The FLAG Art Foundation,We-Sa 11:00-17:00,gallery,https://www.flagartfoundation.org,POINT (-74.0055421 40.749778),246,West Chelsea/Hudson Yards
520,West 25th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Petzel Gallery,tu-sa 10:00-18:00,gallery,https://www.petzel.com,POINT (-74.0042332 40.7492373),246,West Chelsea/Hudson Yards
501,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Lehmann Maupin,Tu-Sa 10:00-18:00,gallery,https://www.lehmannmaupin.com,POINT (-74.0038323 40.7485527),246,West Chelsea/Hudson Yards
505,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Silverlens Galleries,Tu-Sa 10:00-18:00,gallery,https://www.silverlensgalleries.com,POINT (-74.0040119 40.7486434),246,West Chelsea/Hudson Yards
509,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Marianne Boesky Gallery,Tu-Sa 10:00-18:00,gallery,https://marianneboeskygallery.com,POINT (-74.0043141 40.7487557),246,West Chelsea/Hudson Yards
507,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Marianne Boesky Gallery,Tu-Sa 10:00-18:00,gallery,https://marianneboeskygallery.com,POINT (-74.004134 40.7486851),246,West Chelsea/Hudson Yards
531,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Luhring Augustine Gallery,Tu-Sa 10:00-18:00,gallery,https://luhringaugustine.com,POINT (-74.0050793 40.7491116),246,West Chelsea/Hudson Yards
541,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Gagosian,Tu-Sa 10:00-18:00,gallery,https://gagosian.com,POINT (-74.0054902 40.7492448),246,West Chelsea/Hudson Yards
560,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,C24 Gallery,Tu-Sa 10:00-18:00,gallery,https://www.c24gallery.com,POINT (-74.0061341 40.7492207),246,West Chelsea/Hudson Yards
536,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Fredericks & Freiser,Tu-Sa 10:00-18:00,gallery,https://fredericksfreisergallery.com,POINT (-74.0055599 40.7490119),246,West Chelsea/Hudson Yards
534,West 24th Street,New York,10001,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Philippe Labaune Gallery,Tu-Sa 10:00-18:00,gallery,https://www.philippelabaune.com,POINT (-74.0054342 40.7489832),246,West Chelsea/Hudson Yards
532,West 24th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Anna Zorina Gallery,Tu-Sa 10:00-18:00,gallery,https://www.annazorinagallery.com,POINT (-74.0053524 40.7489431),246,West Chelsea/Hudson Yards
