VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-02-01 00:23:33,2022-02-01 00:39:40,2.0,3.92,1.0,N,48,79,2,14.0,0.5,0.5,0.0,0.0,0.3,17.8,2.5,0.0
2,2022-02-01 00:41:11,2022-02-01 00:50:47,1.0,3.04,1.0,N,224,237,1,10.5,0.5,0.5,4.29,0.0,0.3,18.59,2.5,0.0
2,2022-02-01 00:56:52,2022-02-01 01:02:16,2.0,1.19,1.0,N,140,262,1,6.0,0.5,0.5,0.98,0.0,0.3,10.78,2.5,0.0
2,2022-02-01 00:35:35,2022-02-01 00:54:10,1.0,3.14,1.0,N,151,48,1,14.0,0.5,0.5,0.0,0.0,0.3,17.8,2.5,0.0
2,2022-02-01 00:09:25,2022-02-01 00:17:44,1.0,2.59,1.0,N,263,100,1,9.5,0.5,0.5,3.33,0.0,0.3,16.63,2.5,0.0
2,2022-02-01 00:23:24,2022-02-01 00:29:41,1.0,1.01,1.0,N,161,50,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2022-02-01 00:47:07,2022-02-01 00:58:23,1.0,2.07,1.0,N,90,148,2,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5,0.0
1,2022-02-01 00:00:28,2022-02-01 00:15:10,1.0,4.0,1.0,N,162,7,2,14.0,3.0,0.5,0.0,0.0,0.3,17.8,2.5,0.0
1,2022-02-01 00:32:38,2022-02-01 00:42:45,2.0,4.6,1.0,N,138,53,1,14.5,1.75,0.5,2.5,0.0,0.3,19.55,0.0,1.25
2,2022-02-01 00:09:37,2022-02-01 00:18:52,1.0,2.66,1.0,N,144,164,2,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5,0.0
2,2022-02-01 00:38:51,2022-02-01 00:42:35,1.0,1.2,1.0,N,263,141,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
2,2022-02-01 00:05:49,2022-02-01 00:25:48,2.0,5.27,1.0,N,230,7,4,-17.5,-0.5,-0.5,0.0,0.0,-0.3,-21.3,-2.5,0.0
2,2022-02-01 00:05:49,2022-02-01 00:25:48,2.0,5.27,1.0,N,230,7,2,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5,0.0
1,2022-02-01 00:46:33,2022-02-01 00:51:11,1.0,1.2,1.0,N,7,146,3,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0.0,0.0
1,2022-02-01 00:20:40,2022-02-01 00:28:01,1.0,2.0,1.0,N,163,90,1,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5,0.0
1,2022-02-01 00:15:34,2022-02-01 00:21:19,1.0,1.2,1.0,N,142,238,1,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5,0.0
1,2022-02-01 00:22:40,2022-02-01 00:29:48,3.0,1.8,1.0,N,43,237,1,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5,0.0
1,2022-02-01 00:36:35,2022-02-01 00:41:17,3.0,1.0,1.0,Y,162,141,2,6.0,3.0,0.5,0.0,0.0,0.3,9.8,2.5,0.0
