addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,location_id,longitude,name,opening_hours,tags,website,zone,rating
New York,860,10019,11th Avenue,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9902725 40.771366),40.771366,143,-73.9902725,Anya & Andrew Shiva Gallery,Mo-Fr 10:00-18:00,gallery,http://shivagallery.org,Lincoln Square West,4.5
New York,235,10002,Bowery,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9928349 40.722347),40.722347,148,-73.9928349,New Museum,Tu-Su 11:00-18:00,museum,https://www.newmuseum.org/,Lower East Side,4.5
New York,103,10002,Orchard Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9900266 40.7187837),40.7187837,148,-73.9900266,Lower East Side Tenement Museum,Mo-Su 10:00-18:00,museum,https://www.tenement.org/,Lower East Side,4.5
New York,149,10002,Allen Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9892808 40.720719),40.720719,148,-73.9892808,Krause Gallery,We-Su 12:00-18:00,gallery,https://krausegallery.com,Lower East Side,4.5
New York,94,10002,Allen Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9904291 40.7185164),40.7185164,148,-73.9904291,Magenta Plains,We-Su 11:00-18:00,gallery,http://www.magentaplains.com,Lower East Side,4.5
New York,155,10002,Suffolk Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9852723 40.7208065),40.7208065,148,-73.9852723,Morgan Presents,Tu-Sa 10:00-18:00,gallery,https://www.morgan-presents.com/,Lower East Side,4.5
New York,119,10002,Ludlow Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9887194 40.7196295),40.7196295,148,-73.9887194,Con Artist Collective,Mo-Sa 11:00-19:00,gallery,https://conartistnyc.com,Lower East Side,4.5
New York,130,10002,Orchard Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9892959 40.7196517),40.7196517,148,-73.9892959,Perrotin New York,Tu-Sa 10:00-18:00,gallery,https://perrotin.com,Lower East Side,4.5
New York,131,10002,Allen Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.990232 40.7200826),40.7200826,148,-73.990232,Bitforms Gallery,We-Sa 11:00-18:00; Su 12:00-18:00,gallery,https://bitforms.art,Lower East Side,4.5
New York,55,10002,Delancey Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9911739 40.7191881),40.7191881,148,-73.9911739,James Fuentes LLC,We-Su 10:00-18:00,gallery,https://jamesfuentes.com/,Lower East Side,4.5
New York,16B,10002,Orchard Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9916176 40.7151986),40.7151986,148,-73.9916176,Chinatown Soup,Mo-Sa 12:00-19:00,gallery,https://chinatownsoup.nyc,Lower East Side,4.5
New York,36,10002,Orchard Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9912916 40.7158321),40.7158321,148,-73.9912916,Miguel Abreu Gallery,We-Su 10:00-18:00,gallery,https://miguelabreugallery.com/,Lower East Side,4.5
New York,79,10002,Essex Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9886491 40.718097),40.718097,148,-73.9886491,International Center of Photography,11:00-19:00; Tu off; Th 11:00-21:00,museum,https://www.icp.org/,Lower East Side,4.5
New York,150,10025,W 100th Street,This library offers an escape to those seeking knowledge and tranquility amidst the bustling streets of New York City ,POINT (-73.96538484621433 40.80563363228752),40.80563363,166,-73.96538485,Bloomingdale Library,Mo-Th 10:00-19:00; Fr-Sa 10:00-17:00,library,http://www.nypl.org/locations/bloomingdale,Morningside Heights,4.5
New York,,10025,W 101st St,Searching for tranquility within the concrete jungle that is Manhattan? Look no further! This park provides a scenic sancturary away from the busy streets of New York City. Settle in and connect with Monther Nature,POINT( -73.96711576580026 40.80985511359879),40.8098551,166,-73.96711577,Riverside Park,Mo-Su 06:00-01:00,park,https://www.nycgovparks.org/parks/riverside-park,Morningside Heights,4.5
New York,50,10463,W 225th Street,"From the culinary delight that is the Chelsea Market, to the iconic Westfields Mall, Manhattan is a Shopaholic's Paradise!",POINT (-73.90879641638867 40.873277843259125),40.87327784,153,-73.90879642,The Shops at Marble Hill,Mo-Su 07:00-00:00,shopping,http://www.theshopsatmarblehill.com/,Marble Hill,4.5
